,locationid,data_value,stratificationid1_COGDIS,stratificationid1_DISABL,stratificationid1_HEARDIS,stratificationid1_INDDIS,stratificationid1_MOBDIS,stratificationid1_SELFDIS,stratificationid1_VISDIS,responseid_AGE01,responseid_AGE03,responseid_RACE01,responseid_RACE02,responseid_RACE03,responseid_RACE04,responseid_RACE05,responseid_RACE06,responseid_RACE07,responseid_SEX02,responseid_VET2,indicatorid_AGEIND,indicatorid_RACEIND,indicatorid_SEXIND,indicatorid_VETIND
255,88,29.6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
256,21,4.9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
259,37,72.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
261,80,4.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
262,27,77.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
263,35,4.7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
264,83,5.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
266,36,5.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
267,81,56.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
268,89,12.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
269,17,5.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
270,82,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
271,34,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
272,1,62.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
273,8,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
274,35,67.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
